,date,non_farm_payroll
273,2000-01-01,128992
272,2000-02-01,129655
271,2000-03-01,130751
270,2000-04-01,131749
269,2000-05-01,132705
268,2000-06-01,133217
267,2000-07-01,131998
266,2000-08-01,132009
265,2000-09-01,132677
264,2000-10-01,133236
263,2000-11-01,133600
262,2000-12-01,133542
261,2001-01-01,130668
260,2001-02-01,131334
259,2001-03-01,131929
258,2001-04-01,132335
257,2001-05-01,133042
256,2001-06-01,133420
255,2001-07-01,131932
254,2001-08-01,131861
253,2001-09-01,132127
252,2001-10-01,132329
251,2001-11-01,132141
250,2001-12-01,131759
249,2002-01-01,128875
248,2002-02-01,129347
247,2002-03-01,129954
246,2002-04-01,130543
245,2002-05-01,131314
244,2002-06-01,131696
243,2002-07-01,130254
242,2002-08-01,130340
241,2002-09-01,130860
240,2002-10-01,131530
239,2002-11-01,131651
238,2002-12-01,131243
237,2003-01-01,128561
236,2003-02-01,128978
235,2003-03-01,129474
234,2003-04-01,130132
233,2003-05-01,130892
232,2003-06-01,131222
231,2003-07-01,129883
230,2003-08-01,129936
229,2003-09-01,130591
228,2003-10-01,131384
227,2003-11-01,131548
226,2003-12-01,131368
225,2004-01-01,128709
224,2004-02-01,129320
223,2004-03-01,130361
222,2004-04-01,131477
221,2004-05-01,132380
220,2004-06-01,132825
219,2004-07-01,131664
218,2004-08-01,131685
217,2004-09-01,132400
216,2004-10-01,133380
215,2004-11-01,133631
214,2004-12-01,133400
213,2005-01-01,130696
212,2005-02-01,131519
211,2005-03-01,132358
210,2005-04-01,133572
209,2005-05-01,134385
208,2005-06-01,135054
207,2005-07-01,133993
206,2005-08-01,134244
205,2005-09-01,134871
204,2005-10-01,135599
203,2005-11-01,136157
202,2005-12-01,135956
201,2006-01-01,133303
200,2006-02-01,134228
199,2006-03-01,135209
198,2006-04-01,136123
197,2006-05-01,136928
196,2006-06-01,137432
195,2006-07-01,136255
194,2006-08-01,136462
193,2006-09-01,137131
192,2006-10-01,137831
191,2006-11-01,138217
190,2006-12-01,138106
189,2007-01-01,135317
188,2007-02-01,136008
187,2007-03-01,136906
186,2007-04-01,137712
185,2007-05-01,138655
184,2007-06-01,139157
183,2007-07-01,137760
182,2007-08-01,137872
181,2007-09-01,138437
180,2007-10-01,139180
179,2007-11-01,139492
178,2007-12-01,139279
177,2008-01-01,136250
176,2008-02-01,136769
175,2008-03-01,137361
174,2008-04-01,137896
173,2008-05-01,138470
172,2008-06-01,138665
171,2008-07-01,137185
170,2008-08-01,137077
169,2008-09-01,137130
168,2008-10-01,137425
167,2008-11-01,136743
166,2008-12-01,135715
165,2009-01-01,132024
164,2009-02-01,131791
163,2009-03-01,131658
162,2009-04-01,131842
161,2009-05-01,132115
160,2009-06-01,131934
159,2009-07-01,130336
158,2009-08-01,130215
157,2009-09-01,130573
156,2009-10-01,131172
155,2009-11-01,131220
154,2009-12-01,130673
153,2010-01-01,127804
152,2010-02-01,128239
151,2010-03-01,129073
150,2010-04-01,130196
149,2010-05-01,131314
148,2010-06-01,131432
147,2010-07-01,130094
146,2010-08-01,130158
145,2010-09-01,130652
144,2010-10-01,131624
143,2010-11-01,131930
142,2010-12-01,131624
141,2011-01-01,128761
140,2011-02-01,129575
139,2011-03-01,130481
138,2011-04-01,131698
137,2011-05-01,132382
136,2011-06-01,132871
135,2011-07-01,131597
134,2011-08-01,131872
133,2011-09-01,132618
132,2011-10-01,133541
131,2011-11-01,133876
130,2011-12-01,133701
129,2012-01-01,131095
128,2012-02-01,132049
127,2012-03-01,132953
126,2012-04-01,133836
125,2012-05-01,134650
124,2012-06-01,134987
123,2012-07-01,133778
122,2012-08-01,134157
121,2012-09-01,134785
120,2012-10-01,135632
119,2012-11-01,136021
118,2012-12-01,135946
117,2013-01-01,133064
116,2013-02-01,134102
115,2013-03-01,134901
114,2013-04-01,135906
113,2013-05-01,136799
112,2013-06-01,137208
111,2013-07-01,136034
110,2013-08-01,136471
109,2013-09-01,137079
108,2013-10-01,138001
107,2013-11-01,138526
106,2013-12-01,138275
105,2014-01-01,135471
104,2014-02-01,136211
103,2014-03-01,137169
102,2014-04-01,138307
101,2014-05-01,139219
100,2014-06-01,139806
99,2014-07-01,138727
98,2014-08-01,139107
97,2014-09-01,139793
96,2014-10-01,140847
95,2014-11-01,141312
94,2014-12-01,141308
93,2015-01-01,138493
92,2015-02-01,139324
91,2015-03-01,140081
90,2015-04-01,141264
89,2015-05-01,142206
88,2015-06-01,142681
87,2015-07-01,141729
86,2015-08-01,141921
85,2015-09-01,142479
84,2015-10-01,143627
83,2015-11-01,144048
82,2015-12-01,144046
81,2016-01-01,141072
80,2016-02-01,141903
79,2016-03-01,142798
78,2016-04-01,143892
77,2016-05-01,144541
76,2016-06-01,145205
75,2016-07-01,144232
74,2016-08-01,144485
73,2016-09-01,145151
72,2016-10-01,146033
71,2016-11-01,146465
70,2016-12-01,146253
69,2017-01-01,143377
68,2017-02-01,144406
67,2017-03-01,145062
66,2017-04-01,146086
65,2017-05-01,146925
64,2017-06-01,147568
63,2017-07-01,146465
62,2017-08-01,146782
61,2017-09-01,147170
60,2017-10-01,148183
59,2017-11-01,148757
58,2017-12-01,148510
57,2018-01-01,145412
56,2018-02-01,146649
55,2018-03-01,147352
54,2018-04-01,148329
53,2018-05-01,149264
52,2018-06-01,149930
51,2018-07-01,148766
50,2018-08-01,149236
49,2018-09-01,149548
48,2018-10-01,150551
47,2018-11-01,151032
46,2018-12-01,150832
45,2019-01-01,147879
44,2019-02-01,148684
43,2019-03-01,149359
42,2019-04-01,150421
41,2019-05-01,151094
40,2019-06-01,151716
39,2019-07-01,150658
38,2019-08-01,151094
37,2019-09-01,151511
36,2019-10-01,152500
35,2019-11-01,153095
34,2019-12-01,152846
33,2020-01-01,150055
32,2020-02-01,150968
31,2020-03-01,149952
30,2020-04-01,130253
29,2020-05-01,133422
28,2020-06-01,138507
27,2020-07-01,139105
26,2020-08-01,140727
25,2020-09-01,141958
24,2020-10-01,143565
23,2020-11-01,144115
22,2020-12-01,143605
21,2021-01-01,140974
20,2021-02-01,142129
19,2021-03-01,143308
18,2021-04-01,144358
17,2021-05-01,145304
16,2021-06-01,146493
15,2021-07-01,146452
14,2021-08-01,146947
13,2021-09-01,147651
12,2021-10-01,149310
11,2021-11-01,150210
10,2021-12-01,150352
9,2022-01-01,147505
8,2022-02-01,149143
7,2022-03-01,149905
6,2022-04-01,150957
5,2022-05-01,151728
4,2022-06-01,152607
3,2022-07-01,152258
2,2022-08-01,152674
1,2022-09-01,153197
0,2022-10-01,154369
