,date,orders,orders_change
273,2000-01-01,185813,
272,2000-02-01,189153,0.017975060948372867
271,2000-03-01,212974,0.1259350895835647
270,2000-04-01,186872,-0.12255956126099898
269,2000-05-01,190188,0.017744766471167406
268,2000-06-01,237143,0.24688729047048175
267,2000-07-01,159903,-0.3257106471622607
266,2000-08-01,187688,0.17376159296573546
265,2000-09-01,210685,0.12252781211372055
264,2000-10-01,187704,-0.10907753280964472
263,2000-11-01,185475,-0.011875079913054587
262,2000-12-01,192978,0.040452891225232435
261,2001-01-01,167108,-0.13405673185544464
260,2001-02-01,176646,0.05707686047346616
259,2001-03-01,201321,0.13968615196494683
258,2001-04-01,166962,-0.17066773958007364
257,2001-05-01,180620,0.0818030450042524
256,2001-06-01,188450,0.04335068098770911
255,2001-07-01,144702,-0.23214645794640487
254,2001-08-01,171491,0.1851322027338944
253,2001-09-01,169765,-0.010064668116694153
252,2001-10-01,175302,0.032615674609018264
251,2001-11-01,160265,-0.08577768650671413
250,2001-12-01,170130,0.06155430068948298
249,2002-01-01,152537,-0.10340915770293302
248,2002-02-01,167694,0.09936605544884203
247,2002-03-01,183541,0.09449950505086635
246,2002-04-01,170163,-0.07288834647299514
245,2002-05-01,176314,0.03614769368194026
244,2002-06-01,173578,-0.015517769434077788
243,2002-07-01,151584,-0.12670960605606696
242,2002-08-01,176987,0.16758364998944475
241,2002-09-01,174195,-0.015775169927734756
240,2002-10-01,174042,-0.0008783260139498816
239,2002-11-01,164310,-0.055917537146206064
238,2002-12-01,167098,0.016967926480433437
237,2003-01-01,160196,-0.041305102395001736
236,2003-02-01,169363,0.057223651027491274
235,2003-03-01,188854,0.1150841683248407
234,2003-04-01,168168,-0.10953434928569161
233,2003-05-01,172361,0.024933399933399825
232,2003-06-01,183990,0.06746885896461507
231,2003-07-01,150336,-0.18291211478884717
230,2003-08-01,170612,0.13487122179650912
229,2003-09-01,187270,0.0976367430192484
228,2003-10-01,190591,0.01773375340417571
227,2003-11-01,173368,-0.0903662817236911
226,2003-12-01,187904,0.08384476950763697
225,2004-01-01,164926,-0.12228584809264309
224,2004-02-01,180111,0.09207159574597101
223,2004-03-01,214611,0.1915485450638772
222,2004-04-01,183752,-0.14379039285031991
221,2004-05-01,181865,-0.010269275980669623
220,2004-06-01,197458,0.08573942209880947
219,2004-07-01,163925,-0.16982345612737904
218,2004-08-01,184662,0.1265029739210004
217,2004-09-01,197167,0.06771831779142423
216,2004-10-01,186918,-0.05198131533167316
215,2004-11-01,188131,0.006489476668913641
214,2004-12-01,201172,0.06931871940296919
213,2005-01-01,177594,-0.11720318931063967
212,2005-02-01,188951,0.06394923251911666
211,2005-03-01,209708,0.10985387746029396
210,2005-04-01,190899,-0.08969138039559765
209,2005-05-01,205691,0.07748600045050003
208,2005-06-01,224203,0.08999907628432946
207,2005-07-01,169437,-0.24426970201112386
206,2005-08-01,209010,0.2335558349120912
205,2005-09-01,214582,0.026659011530548726
204,2005-10-01,211650,-0.013663774221509772
203,2005-11-01,215562,0.018483345145287045
202,2005-12-01,229512,0.06471456008016263
201,2006-01-01,191920,-0.16379100003485658
200,2006-02-01,209478,0.09148603584827009
199,2006-03-01,252659,0.2061362052339626
198,2006-04-01,206157,-0.18405043952520983
197,2006-05-01,217869,0.056811071173911154
196,2006-06-01,237564,0.09039835864670964
195,2006-07-01,186090,-0.2166742435722584
194,2006-08-01,215695,0.15908968778548016
193,2006-09-01,243185,0.12744848049328916
192,2006-10-01,219885,-0.095811830499414
191,2006-11-01,218853,-0.0046933624394569495
190,2006-12-01,236933,0.08261252987164891
189,2007-01-01,204185,-0.1382162889930909
188,2007-02-01,211359,0.03513480422166171
187,2007-03-01,252090,0.1927100336394476
186,2007-04-01,225558,-0.10524812566940378
185,2007-05-01,229326,0.016705237677227203
184,2007-06-01,243703,0.06269241167595485
183,2007-07-01,211263,-0.1331128463744804
182,2007-08-01,241388,0.14259477523276676
181,2007-09-01,232386,-0.0372926574643313
180,2007-10-01,235158,0.011928429423459175
179,2007-11-01,224134,-0.04687911957067159
178,2007-12-01,254048,0.1334648023057634
177,2008-01-01,219946,-0.13423447537473232
176,2008-02-01,229870,0.04512016585889267
175,2008-03-01,250906,0.09151259407491197
174,2008-04-01,225075,-0.10295090591695699
173,2008-05-01,227995,0.01297345329334676
172,2008-06-01,242479,0.06352770894098558
171,2008-07-01,205540,-0.15233896543618208
170,2008-08-01,214872,0.04540235477279353
169,2008-09-01,224233,0.04356547153654278
168,2008-10-01,197291,-0.1201518063799708
167,2008-11-01,169856,-0.13905854803310846
166,2008-12-01,191734,0.12880322155237378
165,2009-01-01,138218,-0.279115858428865
164,2009-02-01,137245,-0.007039604103662334
163,2009-03-01,162107,0.18115049728587573
162,2009-04-01,139893,-0.1370329473742652
161,2009-05-01,145714,0.041610373642712695
160,2009-06-01,157122,0.07829034958892067
159,2009-07-01,145376,-0.07475719504588796
158,2009-08-01,155455,0.06933056350429223
157,2009-09-01,168746,0.08549741082628404
156,2009-10-01,163196,-0.03288966849584585
155,2009-11-01,151230,-0.07332287556067552
154,2009-12-01,174485,0.15377239965615286
153,2010-01-01,163488,-0.06302547496919508
152,2010-02-01,169065,0.03411259541984735
151,2010-03-01,199993,0.1829355573300211
150,2010-04-01,181528,-0.0923282314881021
149,2010-05-01,183535,0.011056145608391077
148,2010-06-01,200080,0.09014629362246973
147,2010-07-01,174685,-0.1269242303078768
146,2010-08-01,191888,0.09848012136130757
145,2010-09-01,213131,0.1107052030351039
144,2010-10-01,192327,-0.09761132824413155
143,2010-11-01,186603,-0.02976181191408378
142,2010-12-01,209011,0.12008381430094905
141,2011-01-01,184037,-0.1194865342015492
140,2011-02-01,187466,0.01863212288833216
139,2011-03-01,233078,0.24330811987240364
138,2011-04-01,194922,-0.1637048541689906
137,2011-05-01,205025,0.05183098880577863
136,2011-06-01,216548,0.056202902085111583
135,2011-07-01,189215,-0.1262214382030774
134,2011-08-01,216719,0.14535845466797026
133,2011-09-01,221336,0.021304085013312157
132,2011-10-01,206574,-0.0666949795785593
131,2011-11-01,206403,-0.0008277905254291396
130,2011-12-01,237529,0.1508020716753149
129,2012-01-01,204013,-0.1411027706090625
128,2012-02-01,224922,0.10248856690505015
127,2012-03-01,240680,0.07005984296778434
126,2012-04-01,210894,-0.12375768655476149
125,2012-05-01,220785,0.04690033855870723
124,2012-06-01,233259,0.05649840342414558
123,2012-07-01,206771,-0.11355617575313282
122,2012-08-01,204001,-0.013396462753480942
121,2012-09-01,223423,0.09520541565972707
120,2012-10-01,222736,-0.003074884859660787
119,2012-11-01,209712,-0.05847281086128875
118,2012-12-01,239368,0.14141298542763403
117,2013-01-01,204169,-0.14704973095818985
116,2013-02-01,225639,0.10515798186796244
115,2013-03-01,232999,0.03261847464312462
114,2013-04-01,221353,-0.049983047137541314
113,2013-05-01,238678,0.07826864781593201
112,2013-06-01,260225,0.0902764393869564
111,2013-07-01,208090,-0.20034585454894804
110,2013-08-01,224074,0.07681291748762553
109,2013-09-01,248206,0.10769656452778986
108,2013-10-01,236784,-0.046018226795484396
107,2013-11-01,233300,-0.014713832015676775
106,2013-12-01,250119,0.0720917273896271
105,2014-01-01,203981,-0.18446419504315947
104,2014-02-01,221433,0.0855569881508571
103,2014-03-01,251763,0.13697145411930478
102,2014-04-01,231365,-0.08102064242958651
101,2014-05-01,231723,0.0015473386207940365
100,2014-06-01,257228,0.1100667607445096
99,2014-07-01,286876,0.11525961403890705
98,2014-08-01,231195,-0.1940943125252722
97,2014-09-01,249698,0.0800320076126213
96,2014-10-01,238710,-0.04400515823114326
95,2014-11-01,216401,-0.09345649532906042
94,2014-12-01,240457,0.11116399646951725
93,2015-01-01,200582,-0.16583006525075172
92,2015-02-01,206166,0.027838988543338994
91,2015-03-01,249239,0.20892387687591563
90,2015-04-01,220091,-0.11694798968058773
89,2015-05-01,211139,-0.040674084810373934
88,2015-06-01,252759,0.1971213276561885
87,2015-07-01,216803,-0.14225408392975125
86,2015-08-01,218267,0.006752674086613286
85,2015-09-01,231339,0.059889951298180755
84,2015-10-01,228138,-0.013836836849817846
83,2015-11-01,216692,-0.05017138749353467
82,2015-12-01,230959,0.06583999409299834
81,2016-01-01,199424,-0.13653938577842817
80,2016-02-01,211114,0.05861882220795889
79,2016-03-01,243551,0.15364684483264957
78,2016-04-01,221215,-0.09170974457095227
77,2016-05-01,217981,-0.014619261804127204
76,2016-06-01,230820,0.05889962886673605
75,2016-07-01,197867,-0.1427649250498224
74,2016-08-01,221537,0.11962580925571209
73,2016-09-01,230956,0.04251659993590229
72,2016-10-01,231422,0.0020177003411905314
71,2016-11-01,213364,-0.07803061074573725
70,2016-12-01,229243,0.07442211432106638
69,2017-01-01,192661,-0.15957739167608176
68,2017-02-01,207598,0.07752996195389827
67,2017-03-01,250524,0.20677463174019017
66,2017-04-01,211822,-0.15448420111446404
65,2017-05-01,221661,0.04644937730736176
64,2017-06-01,260463,0.1750510915316632
63,2017-07-01,198954,-0.23615254373941785
62,2017-08-01,226796,0.13994189611669028
61,2017-09-01,238114,0.0499038783752801
60,2017-10-01,228920,-0.03861175739351741
59,2017-11-01,227511,-0.006154988642320447
58,2017-12-01,245917,0.08090158278061277
57,2018-01-01,204291,-0.1692684930281355
56,2018-02-01,220186,0.07780567915375625
55,2018-03-01,268069,0.21746614226154248
54,2018-04-01,232661,-0.13208539592418367
53,2018-05-01,241465,0.037840463163143045
52,2018-06-01,261381,0.0824798625059533
51,2018-07-01,215595,-0.17516958003833483
50,2018-08-01,251050,0.16445186576683124
49,2018-09-01,250454,-0.0023740290778729856
48,2018-10-01,241592,-0.0353837431224896
47,2018-11-01,228544,-0.05400841087453223
46,2018-12-01,243801,0.06675738588630642
45,2019-01-01,209313,-0.1414596330613902
44,2019-02-01,210489,0.005618380129280176
43,2019-03-01,254141,0.20738375877124215
42,2019-04-01,220629,-0.13186380788617347
41,2019-05-01,220049,-0.002628847522311184
40,2019-06-01,231478,0.051938431894714254
39,2019-07-01,208890,-0.09758162762767952
38,2019-08-01,228388,0.09334099286705921
37,2019-09-01,229365,0.004277807940872513
36,2019-10-01,226524,-0.012386371067948487
35,2019-11-01,204062,-0.09915947096113431
34,2019-12-01,220911,0.08256804304574095
33,2020-01-01,211354,-0.04326176605058141
32,2020-02-01,225748,0.06810375010645653
31,2020-03-01,220073,-0.02513865017630279
30,2020-04-01,157005,-0.28657763560273186
29,2020-05-01,174415,0.11088818827425873
28,2020-06-01,213266,0.22275033684029477
27,2020-07-01,204830,-0.039556234936651835
26,2020-08-01,219699,0.07259190548259542
25,2020-09-01,236069,0.07451103555318861
24,2020-10-01,231202,-0.020616853547056113
23,2020-11-01,217877,-0.05763358448456324
22,2020-12-01,240298,0.10290668588240148
21,2021-01-01,215529,-0.10307618040932509
20,2021-02-01,226851,0.0525312138969698
19,2021-03-01,267961,0.18122027233734928
18,2021-04-01,236534,-0.11728199252876348
17,2021-05-01,235324,-0.005115543642774445
16,2021-06-01,263226,0.1185684418078905
15,2021-07-01,228559,-0.13170051590648335
14,2021-08-01,250971,0.09805783189460926
13,2021-09-01,260121,0.03645839559152253
12,2021-10-01,247086,-0.050111294359163616
11,2021-11-01,244327,-0.011166152675586627
10,2021-12-01,267477,0.09475006855566526
9,2022-01-01,242492,-0.09340990066435617
8,2022-02-01,250105,0.03139485013938614
7,2022-03-01,294088,0.17585813958137586
6,2022-04-01,260366,-0.11466635836892358
5,2022-05-01,263971,0.013845893857108882
4,2022-06-01,294470,0.11553920695834008
3,2022-07-01,249456,-0.1528644683668965
2,2022-08-01,279323,0.11972852927971256
1,2022-09-01,290113,0.03862911396483648
0,2022-10-01,273451,-0.05743279342876739
